TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
0c00ffff,ffffffff,00480840,a1ce8f36,2c29b16c,47892e08,0261294b,81145c31,2027c119,00c85010,21c9820f,3c2011aa,80090922
1400ffff,ffffffff,320080a1,a0828f0a,740820e0,c6825628,28600483,81210800,10088c82,0e40a051,c388144a,7574e649,00951122
1c00ffff,ffffffff,04600874,82131b1c,144260c0,45813a48,48424841,8a1e0511,22650a45,4028c051,04c30d16,30e030e1,d2aa1922
2400ffff,ffffffff,20050070,c004091e,4470a045,409a4804,b82180c0,812c6040,b0c11307,b6013820,62c0892c,18282285,01012122
2c00ffff,ffffffff,00741af3,20da0e22,00001020,d5072008,70000004,8122bc08,90600e13,7e4c28d0,204aa018,3408a0e3,2f082922
3400ffff,ffffffff,44110042,61898b04,100130f1,035b384c,28900841,37240510,64410019,82805051,02ce1210,5ce041a3,80813122
3c00ffff,ffffffff,041c18e1,a0048622,402866e8,0231108c,a031a185,000e2048,6020c402,02742810,4000823c,34000300,c1013922
4400ffff,ffffffff,4e584890,e24c0210,8c0900e1,22a50264,501160c5,80503401,8484c480,08287105,20c60508,20c89422,d1284122
4c00ffff,ffffffff,084d70a0,e0c3280c,005993c3,c4913a04,78708cc3,800c5060,60e10202,3e281080,628a8812,1400b7e4,40274922
5400ffff,ffffffff,181451b0,a0091b3e,3458a1d2,81081c3c,db626805,930054ab,40224415,06303a50,08848b0a,0c192042,ca1f5122
5c00ffff,ffffffff,220100d0,e0808204,20b0e1e3,c7830458,c0408990,8f2e2440,d2c24502,040c50d1,21400f08,046030c0,a00b5922
6400ffff,ffffffff,0430d940,e98f0100,2c085222,87102ca1,18b1a044,8826c4e0,21a2dd95,42403870,a10b8606,2c98904e,87006122
6c00ffff,ffffffff,0800d031,6108830e,4c79a163,819b1e08,08e02194,0a861001,10208103,36081cc0,40480712,2cd9008a,418b6922
7400ffff,ffffffff,0e043033,23842928,0ca9c2c4,c000003c,8074c38a,84100c78,2068c088,0c2010f4,00858432,11b03304,09067122
7c00ffff,ffffffff,06405960,c5009002,30a9f042,0680402d,10c0c141,01048860,91268282,0c2c0880,abc08002,14519042,cc807922
0400ffff,ffffffff,02282891,01c6170c,20409142,84011c34,30e6c849,9f129879,40669400,08143151,a1c0bc2c,7c110201,858c0122
0c00ffff,ffffffff,4c504941,a5c99802,403990a1,c5830200,48508043,87162cc8,24e304a8,104c88d0,010e0e28,00913681,1d020922
1400ffff,ffffffff,1a249950,a841872c,14504080,41a03450,5ad18405,14307148,e1225081,08399101,0304230e,7c1250a6,c6951122
1c00ffff,ffffffff,2808b020,60498a02,1818b141,418a0640,500100cf,04370128,95c14385,08657914,20500204,4ca0d246,80931922
2400ffff,ffffffff,22101873,8c44a738,64d04084,dc021610,8081a2c4,81882c03,6200a898,041c2b37,02071406,40f03041,40032122
2c00ffff,ffffffff,1400a052,2941880e,24a10400,c68b0450,48210008,092e7cd8,5a80088b,0a248235,e740240a,e8a892c4,c2942922
3400ffff,ffffffff,364c1046,80ca8818,8802a160,838a1e01,f971a442,8b020482,31a68217,2220e2c1,a1459a16,040060a0,819d3122
3c00ffff,ffffffff,00084191,e6818910,00103509,870f5220,10f0c084,281e0048,11c0c18d,0ec87000,420d0900,98892020,84b03922
4400ffff,ffffffff,04081945,a306000a,4c300424,803b2c60,42e2c346,01240c01,20604506,562590b1,c04c063c,74106064,888d4122
4c00ffff,ffffffff,5a2c5000,8310872a,60c9d327,c0010838,19314005,235e1800,50270e88,267d0940,21048122,1c6142a0,d02e4922
5400ffff,ffffffff,12040840,2747060e,497015e0,840f121c,e1148147,08306471,55c17f80,26145832,2001040e,0c69120a,48165122
5c00ffff,ffffffff,4c2c1885,6ac58016,85183083,48807234,80328040,11180810,20040fa3,0e1c08b2,a08e0d20,10105330,192e5922
6400ffff,ffffffff,101c0a31,81421f08,4828a3a5,468710a4,c010610d,09020830,135141a4,1a201930,60259924,014ac021,87016122
6c00ffff,ffffffff,0c5811b1,84001118,50284041,c2010024,f9324000,b56a20a1,a542c8a4,042408b0,24800010,08203226,c2026922
7400ffff,ffffffff,3c2c31c2,249e8f20,0038b126,41040e08,b1e400c1,13201cab,30220482,3e0cf820,20c60e00,50994065,04917122
7c00ffff,ffffffff,0054a060,4082805e,6c2800c0,0e071800,58c1e4c6,99000d11,50a3c189,08047000,a1033306,18194080,41287922
0400ffff,ffffffff,163c0220,c7c24b0c,0c4a6243,8203266c,02f30040,0756002a,c2898c32,00043832,0193a108,186810c0,11060122
0c00ffff,ffffffff,0ec09060,c0018a0e,0c1824c0,46920e14,58008044,82081400,e020c583,0a002130,22030678,2058f006,81190922
1400ffff,ffffffff,0a0000a0,80c1110c,1940b021,14a11c14,a8d06607,b7060451,11439680,02381040,82840a4a,20d0b2c3,012e1122
1c00ffff,ffffffff,04503100,25d00310,1839c1e8,87060c40,987602c0,1e0a8011,b3004094,681c41b1,20439342,104001a1,888b1922
2400ffff,ffffffff,062f4936,62c7024a,00591103,c3990818,01228544,340e9010,b443698e,0400a0e1,c0c48b04,58483181,c6082122
2c00ffff,ffffffff,06042850,43820c06,2811732c,83020850,2bc24049,00444890,21271019,38186070,03410644,08581242,00002922
3400ffff,ffffffff,1a5c4062,c1400008,80198020,02170620,2081e114,01245400,70505015,1a1c39c0,e70b1824,2c1860a0,48803122
3c00ffff,ffffffff,042c39d0,c7568200,2c1820e2,020d024c,bb758300,855a1029,2320480a,10142820,44070744,c078b104,02063922
4400ffff,ffffffff,0a1c1d12,a8268d12,10885200,828e1218,cb110bc3,8e6a1038,86c28498,40c00322,20011c04,84c06365,c60b4122
4c00ffff,ffffffff,0e1c8080,43440232,0810824d,01052e08,18f00140,150004c0,f160830b,0214c061,2200200c,04d020df,c10e4922
5400ffff,ffffffff,1e108821,a8428a00,30883067,c2822c44,9120bb08,04241c03,36058888,10048a33,1042030c,10211040,488e5122
5c00ffff,ffffffff,06403031,e0561008,0c0810cf,55811c28,9893e200,880a0439,7102c50a,1a080a10,4003901a,04582741,418b5922
