TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
1400ffff,ffffffff,027081d1,028b0408,14302063,c0812000,0894c193,04563cc0,b0068305,0e4d2142,02068d00,a030d146,048d1122
1c00ffff,ffffffff,001020f2,a5450112,18206263,c4060674,20004000,8a0238d8,30c10b06,0a0c6120,2ccc020e,54d09301,08021922
2400ffff,ffffffff,1c04f250,a0508a0c,4410f1e6,83081800,11b22540,8a1ed890,91638296,0ae8e041,24849a0e,6420a162,40132122
2c00ffff,ffffffff,0816c1c3,6041020e,04001160,00a34018,c9c1a3c0,9e021019,d0840f07,321c3803,228a8f28,14088100,83012922
3400ffff,ffffffff,460440d1,024b003a,35284160,51873458,18e04314,8b0a1479,1060028a,0210d8e1,010e1906,08498022,131c3122
3c00ffff,ffffffff,6c1c7004,e740910a,385885a9,421e0625,20100643,b22cc824,81c00180,0221c872,814c8d2e,000012c0,91043922
4400ffff,ffffffff,02080893,a04e8c1a,79104040,890b2000,d871a0c5,03061c10,e1251389,101c28f0,23d18510,345a7044,46074122
4c00ffff,ffffffff,028c08a0,e0c8801c,00484140,09b80cac,60f543c5,820002d0,d642c488,22306025,00420c14,081b2041,018b4922
5400ffff,ffffffff,1638d811,01cc3308,00d07002,1810081c,18a04581,90383860,a22e0414,4a285032,8ac08412,20501301,04025122
5c00ffff,ffffffff,08514860,e9439624,2c0805a3,c2970208,316160c4,05121c61,01408624,082c90d3,a042b50a,952800c0,d4925922
6400ffff,ffffffff,002d1041,44460706,40389080,03901034,20d04781,91042d58,6340c104,1c0c0043,a2090654,48d87284,81806122
6c00ffff,ffffffff,38488804,c2420304,00ca5063,45850834,609201c5,88107051,d2668598,022c2002,20020210,64002308,c3876922
7400ffff,ffffffff,44b03800,81190502,00188247,c1033014,8a304146,98022c98,8100c283,0064b0d0,41811040,955a9060,a68f7122
7c00ffff,ffffffff,062c7870,e74a1010,0058e3a2,050e0e44,61614181,12241820,a4c6cf2c,0c202200,2580a702,44e8b1c5,41877922
0400ffff,ffffffff,0c106901,418e8814,10287106,9bad005c,18024088,06420c60,1201828f,161cc1f1,45800766,08304232,00be0122
0c00ffff,ffffffff,324c50e2,80418c10,00601120,820a0008,c8f26184,87084928,21a6c796,00000036,42018928,2c704023,4c820922
1400ffff,ffffffff,1a787890,2503040a,6c28c1e3,418f2a14,9b922040,87100809,e1a040a4,14051080,e2d0340e,10b11060,80861122
1c00ffff,ffffffff,0a8d2952,400d830c,0400e0ae,05870c1c,503160c2,961c243a,90068c09,06a029b2,a083891e,343015c0,09871922
2400ffff,ffffffff,0c5825c0,8151931e,152815c0,01970210,2864a100,8c0a4861,b001450e,1a888873,c117813a,2808c1e2,80152122
2c00ffff,ffffffff,1a4069c3,82020812,6c885024,8883100c,b8b061c3,8f083c48,50c4c605,12383021,03488528,208370c8,010d2922
3400ffff,ffffffff,14885810,43801514,ac510183,888c062c,0030a4c1,a714bc08,d5448088,022c00d0,c1cf0b02,c80080a2,12013122
3c00ffff,ffffffff,020850a0,a0c19324,945136e3,40830605,00da6444,0a210cc8,b0434187,16207160,46030b40,1020e047,01073922
4400ffff,ffffffff,0279e812,41228510,3439e3e1,82813c30,50a02140,20160c28,91038081,0018e880,6ac80100,14603220,c1084122
4c00ffff,ffffffff,14247031,a000000a,8d0973a2,05000c54,801182ce,990e2d00,22c74084,58101851,89c10824,6851c181,01884922
5400ffff,ffffffff,2e1c41b0,638b9502,0c088180,08800c81,609387c5,000c14a2,51408102,1a145a13,23808636,283831a5,02045122
5c00ffff,ffffffff,76140100,c1048a0a,14106182,03195478,d8122b86,051a0443,3540dc1a,0a38f560,88872038,0868d00f,41195922
6400ffff,ffffffff,02248a00,e3c60116,cc301180,400e640c,09306482,072a14d9,43e44906,0c083070,60838114,14119144,05aa6122
6c00ffff,ffffffff,18343870,c44c2f30,0008c00c,102e0600,286120cc,90127401,2143c18f,1c60e0c0,c4850106,0508d042,06866922
