TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11,TX_DATA_12
3400ffff,ffffffff,2c3c60d0,e1d08414,0c1070c0,c00b0800,10702400,893e8450,4800c30d,0e0c20c2,218e1516,14b0a2e0,0a9c3122
3c00ffff,ffffffff,1035e090,a1491212,7898d265,84830e04,68f62281,9c1c24b8,64cb8618,02a45821,e1c29168,042021c0,07493922
4400ffff,ffffffff,0a1c20f4,80c00406,0c719384,40030218,40b0c44f,973c1042,30418024,3c005810,01813222,20381103,01054122
4c00ffff,ffffffff,2e440151,0486831e,049801c0,42231c58,5016e041,1a1c0028,10a907aa,08304881,04849304,140233e2,40a44922
5400ffff,ffffffff,10019943,62068072,806825e4,4599042c,2920288a,07045809,a0038934,06088922,4003170a,3c2870e5,a28d5122
5c00ffff,ffffffff,4000c900,02400200,44207022,410d0828,81a188c4,920208a8,30e01885,2c6010d0,84c69114,48496101,c7185922
6400ffff,ffffffff,22141913,4b008c0c,3d283646,01860c48,08c12180,04083100,62420c9f,3a085040,00808930,ba603042,c40c6122
6c00ffff,ffffffff,1a00a111,e0808406,08b27160,00310a44,0831a587,81043018,b3208607,462482b0,63430106,34934088,05bd6922
7400ffff,ffffffff,08224820,c6cc8014,09d931e3,c1200a7c,c0236b83,99187478,01858e8f,00008820,84018852,44202528,d1187122
7c00ffff,ffffffff,08141840,a0808226,50280080,060c0c08,5ab4a1c1,872a0880,11200103,02683892,80c20916,2d0001c4,06017922
0400ffff,ffffffff,0c380815,a4421024,681812c4,85280008,c94021c4,830a1c60,0264430d,141540a0,05c50214,1c11d021,04020122
0c00ffff,ffffffff,029c01d0,200b934a,2468d203,870a00b0,04e56246,0c122938,1341910a,500c8894,c5459904,18a90361,80140922
1400ffff,ffffffff,02109490,c4c19178,94206423,08961284,ece2d2c2,9f023008,e4e30c01,1244007c,41078320,10d86106,c3151122
1c00ffff,ffffffff,120418f1,800d1828,24296120,870f4288,30006609,00302808,3086c02c,5c5c2012,03018104,08783021,06831922
2400ffff,ffffffff,00391170,0144804e,46384323,82802e28,780021c3,8e020c18,2263819f,0e002090,40479608,10229124,1c8a2122
2c00ffff,ffffffff,3030e417,4e829906,b01841a1,05062604,59f1e007,030e4059,5061030d,065000d1,c18b0d02,30503020,02142922
3400ffff,ffffffff,06056091,c11f8902,61387042,ca060a0c,686044c3,85243828,0404810e,1a087120,a1428b46,750080a6,81923122
3c00ffff,ffffffff,1a6c3822,04058202,142b41c2,5c162260,38a1a052,0d3e5228,6060808a,4028a0f0,a4869506,5810a123,43883922
4400ffff,ffffffff,24003092,e4c8844e,1490c1c2,91030240,205240c8,b81c0490,15488606,1c1c0041,4182802c,a0183389,81184122
4c00ffff,ffffffff,20651cb3,c4060306,042090a0,41151000,900040e9,02525808,60625524,02244810,a0808604,0088d06b,04074922
5400ffff,ffffffff,0844c801,21c70f0e,3452e20d,4494385c,0d01c0c1,040674b2,3103018a,1a2d0900,00429130,34e10240,cf125122
5c00ffff,ffffffff,22086961,03d00026,0c086328,47195414,e8064184,82301028,5321c70a,2c289851,01840502,047922e3,549f5922
6400ffff,ffffffff,00040011,e2498e14,489866c5,40be3e61,80826d00,812a0028,41204104,060ce823,22800420,78398280,00816122
6c00ffff,ffffffff,5c203115,669b0e12,3c50b021,00003004,0211028a,11226838,01c4c091,08180862,e2000124,1850b025,83136922
7400ffff,ffffffff,7a74c9f0,24cc8532,4dc1d961,0192167c,a890cd50,0a4a1828,50c2c316,0a099172,80001000,55087583,42a77122
7c00ffff,ffffffff,023c4820,0008b91a,0800c261,46959a35,c160c041,8c0e5428,81210901,1a082870,00c52e0e,0440e020,c7837922
0400ffff,ffffffff,062430d2,a30a8616,080810a0,028d1620,98c44141,8800380c,20c04d84,00041883,af840418,80801321,c1010122
0c00ffff,ffffffff,0a006122,22098a10,6c508104,c49920d1,f0b12108,89321840,00014784,34340be4,2e140880,14700245,c3930922
1400ffff,ffffffff,30793811,2040a88e,78d880a0,c4910084,50704140,1a020878,50a54f07,3e002871,64818230,50582289,8c0f1122
1c00ffff,ffffffff,040182e0,21040216,0c5143c1,86870e1c,30566700,030a3800,e1c28101,4e4470a0,e20e0652,b8ac5046,85041922
2400ffff,ffffffff,2c585061,c0468c38,0c504643,070244d0,2020430a,ae0e2c09,4126c384,10747040,e5861016,202380e1,d5c82122
2c00ffff,ffffffff,12501800,00248c02,5cc20047,cf9d1e08,a0c44055,a0020838,61800f9f,5e64e150,0183041e,141182c0,869c2922
3400ffff,ffffffff,0614d822,200e190c,34a02042,83a05a1c,21900184,1c1a3ca9,b0e00494,205c9851,428d0500,644800a0,0e083122
3c00ffff,ffffffff,06201842,c5c29f12,3820b262,0601000e,21000341,870628a0,20034398,181479d5,a3c48032,184300e0,c7233922
4400ffff,ffffffff,1444a0d1,20c10400,30081024,42090020,3036e401,84006598,82419a19,0e3090d0,e2831422,04402223,478a4122
4c00ffff,ffffffff,0bc44890,434b000e,08003064,070c1240,1930214e,16222060,2041c380,064c4004,c2d48e10,696ac040,820f4922
5400ffff,ffffffff,1e487830,07440a84,74f87040,008a38f4,10a0e109,0b264808,e2c0c23a,102c3811,66481802,684044a2,52015122
5c00ffff,ffffffff,1848b801,84849a16,58b0b1aa,421c160c,3000e7ca,85101048,80a4ce8d,10183835,e1052506,050801a7,42935922
6400ffff,ffffffff,0a0814a0,08010e16,08600120,07020244,31802002,36844008,b1820506,00113051,c6c38124,04105166,c68c6122
6c00ffff,ffffffff,2408c9a0,01058e1e,542a0141,c492002c,78216ec8,850c4470,10808306,0c1811a4,40468516,107850a2,03906922
7400ffff,ffffffff,06183851,4a8e0304,04c2514b,c6220611,08e06705,8d5eec28,70c2428c,4c284954,64128602,54181065,07047122
7c00ffff,ffffffff,182421f2,4648900a,283a5180,070d3244,5804e00e,838e1969,34c69c8a,064c7052,814281bc,34f920a0,c4037922
0400ffff,ffffffff,300c50b1,c40c8722,0808b306,15810018,e1102846,0a000411,30050714,12082805,60491918,002260a9,91a10122
0c00ffff,ffffffff,66110050,0fd79016,40888086,14810610,90720223,080c0140,60818a9d,002850b3,608b8412,5c404001,85020922
1400ffff,ffffffff,001010c1,6380320c,22231140,0e832e08,7890c049,0b040640,c0010d80,127c0045,28821718,04c01046,86051122
