05-26-22 03:09:06 INFO   Starting
05-26-22 03:09:19 INFO   Configuring stream compare
05-26-22 03:09:22 INFO   Stop continous acquire for lc-input
05-26-22 03:09:22 INFO   Stop continous acquire for lc-ASIC
05-26-22 03:09:22 INFO   Stop continous acquire for lc-emulator
05-26-22 03:09:22 INFO   Configure continous acquire
05-26-22 03:09:22 INFO   Starting stream compare (CTRL-C to stop and do capture and I2C compare)
05-26-22 03:09:22 INFO   Stream compare, word count 18759, error count 0
05-26-22 03:09:23 INFO   Stream compare, word count 40105101, error count 0
05-26-22 03:09:24 INFO   Stream compare, word count 80194854, error count 0
05-26-22 03:09:25 INFO   Stream compare, word count 120283409, error count 0
05-26-22 03:09:26 INFO   Stream compare, word count 160374286, error count 0
05-26-22 03:09:27 INFO   Stream compare, word count 200459971, error count 0
05-26-22 03:09:28 INFO   Stream compare, word count 240508416, error count 0
05-26-22 03:09:29 INFO   Stream compare, word count 280595546, error count 0
05-26-22 03:09:30 INFO   Stream compare, word count 320683311, error count 0
05-26-22 03:09:31 INFO   Stream compare, word count 360770256, error count 0
05-26-22 03:09:32 INFO   Stream compare, word count 400855607, error count 0
05-26-22 03:09:33 INFO   Stream compare, word count 440943798, error count 0
05-26-22 03:09:34 INFO   Stream compare, word count 481029366, error count 0
05-26-22 03:09:35 INFO   Stream compare, word count 521117871, error count 0
05-26-22 03:09:36 INFO   Stream compare, word count 561212816, error count 0
05-26-22 03:09:37 INFO   Stream compare, word count 601298542, error count 0
05-26-22 03:09:38 INFO   Stream compare, word count 641385013, error count 0
05-26-22 03:09:39 INFO   Stream compare, word count 681475320, error count 0
05-26-22 03:09:40 INFO   Stream compare, word count 721560122, error count 0
05-26-22 03:09:41 INFO   Stream compare, word count 761648698, error count 0
05-26-22 03:09:42 INFO   Stream compare, word count 801737736, error count 0
05-26-22 03:09:43 INFO   Stream compare, word count 841824948, error count 0
05-26-22 03:09:44 INFO   Stream compare, word count 881912076, error count 0
05-26-22 03:09:45 INFO   Stream compare, word count 922002053, error count 0
